direction,AUC,AUPR,LogAUC,recall_1,recall_5,recall_10,recall_25,recall_50,EF_1,EF_5,EF_10,EF_25EF_50
pathway94_15_2,1.0,1.0,0.08510822129649005,1.0,1.0,1.0,1.0,1.0,0.019569471624266144,0.09980430528375733,0.19960861056751467,0.5009784735812133,1.0
pathway49_90_7,1.0,1.0,0.08395811019788883,1.0,1.0,1.0,1.0,1.0,0.019305019305019305,0.09845559845559845,0.1969111969111969,0.4942084942084942,0.9884169884169884
pathway19_30_8,1.0,1.0,0.08444718656797362,1.0,1.0,1.0,1.0,1.0,0.019417475728155338,0.09902912621359224,0.19805825242718447,0.4970873786407767,0.9941747572815534
pathway94_45_1,1.0,1.0,0.08561082890257168,1.0,1.0,1.0,1.0,1.0,0.01968503937007874,0.10039370078740158,0.20078740157480315,0.5039370078740157,1.0
pathway49_75_5,1.0,1.0,0.08494199430177032,1.0,1.0,1.0,1.0,1.0,0.01953125,0.099609375,0.19921875,0.5,1.0
pathway49_90_3,1.0,1.0,0.08527510016177729,1.0,1.0,1.0,1.0,1.0,0.0196078431372549,0.1,0.2,0.5019607843137255,1.0
donate_1_more,1.0,1.0,0.08663406590140721,1.0,1.0,1.0,1.0,1.0,0.0199203187250996,0.10159362549800798,0.20318725099601595,0.5099601593625498,1.0
pathway19_15_8,1.0,1.0,0.08494199430177032,1.0,1.0,1.0,1.0,1.0,0.01953125,0.099609375,0.19921875,0.5,1.0
pathway49_15_6,1.0,1.0,0.08680698818863555,1.0,1.0,1.0,1.0,1.0,0.01996007984031936,0.10179640718562874,0.20359281437125748,0.5109780439121756,1.0
halve_2_9,1.0,1.0,0.08680698818863555,1.0,1.0,1.0,1.0,1.0,0.01996007984031936,0.10179640718562874,0.20359281437125748,0.5109780439121756,1.0
pathway49_30_9,1.0,1.0,0.089486216219149,1.0,1.0,1.0,1.0,1.0,0.0205761316872428,0.10493827160493827,0.20987654320987653,0.5267489711934157,1.0
pathway49_105_1,1.0,0.9999999999999999,0.08839492089940329,1.0,1.0,1.0,1.0,1.0,0.02032520325203252,0.10365853658536585,0.2073170731707317,0.5203252032520326,1.0
pathway94_60_7,1.0,1.0,0.08577968655326709,1.0,1.0,1.0,1.0,1.0,0.01972386587771203,0.10059171597633136,0.20118343195266272,0.504930966469428,1.0
